COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,id
03009,No aplica,Calle,23443
03009,No aplica,Calle,23444
03009,Curva señalizada,Carretera,23445
03009,No aplica,Calle,23446
03009,No aplica,Calle,23447
03009,No aplica,Calle,23448
03009,Recta,Carretera,23449
03009,No aplica,Calle,23450
03009,No aplica,Calle,23451
03009,No aplica,Calle,23452
03009,Recta,Carretera,23453
03009,Recta,Carretera,23454
03009,Recta,Carretera,23455
03009,Curva señalizada,Carretera,23456
03009,No aplica,Calle,23457
03009,No aplica,Calle,23458
03009,No aplica,Calle,23459
03009,No aplica,Calle,23460
03009,Recta,Carretera,23461
03009,Recta,Carretera,23462
03009,No aplica,Calle,23463
03009,No aplica,Calle,23464
03009,No aplica,Calle,23465
03009,No aplica,Calle,23466
03009,No aplica,Calle,23467
03009,No aplica,Calle,23468
03009,No aplica,Calle,23469
03009,No aplica,Calle,23470
03009,No aplica,Calle,23471
03009,No aplica,Calle,23472
03009,No aplica,Calle,23473
00000,Recta,Carretera,23474
03011,No aplica,Calle,23475
03011,No aplica,Calle,23476
03011,No aplica,Calle,23477
03011,No aplica,Calle,23478
03011,No aplica,Calle,23479
03011,No aplica,Calle,23480
03011,No aplica,Calle,23481
03011,No aplica,Calle,23482
03011,No aplica,Calle,23483
03011,No aplica,Calle,23484
03011,No aplica,Calle,23485
03011,No aplica,Calle,23486
03011,No aplica,Calle,23487
03011,No aplica,Calle,23488
03011,No aplica,Calle,23489
03011,No aplica,Calle,23490
03011,No aplica,Calle,23491
03011,No aplica,Calle,23492
03011,No aplica,Calle,23493
03011,No aplica,Calle,23494
03011,No aplica,Calle,23495
03031,Recta,Carretera,23496
03011,No aplica,Calle,23497
03011,Recta,Carretera,23498
03011,No aplica,Calle,23499
03011,No aplica,Calle,23500
03011,No aplica,Calle,23501
03011,No aplica,Calle,23502
03011,No aplica,Calle,23503
03011,Recta,Carretera,23504
03011,Recta,Carretera,23505
03011,No aplica,Calle,23506
03011,No aplica,Calle,23507
03011,No aplica,Calle,23508
03011,Recta,Carretera,23509
03011,No aplica,Calle,23510
03011,No aplica,Calle,23511
03011,Recta,Carretera,23512
03011,Curva señalizada,Carretera,23513
03011,No aplica,Calle,23514
03094,Curva señalizada,Carretera,23515
03011,No aplica,Calle,23516
03011,Recta,Carretera,23517
03011,No aplica,Calle,23518
03011,No aplica,Calle,23519
03011,No aplica,Calle,23520
03011,No aplica,Calle,23521
03011,No aplica,Calle,23522
03011,No aplica,Calle,23523
03011,No aplica,Calle,23524
03011,No aplica,Calle,23525
03011,No aplica,Calle,23526
03011,No aplica,Calle,23527
03011,No aplica,Calle,23528
03011,No aplica,Calle,23529
03011,No aplica,Calle,23530
03011,No aplica,Calle,23531
03011,No aplica,Calle,23532
03011,No aplica,Calle,23533
03011,No aplica,Calle,23534
03011,No aplica,Calle,23535
03011,No aplica,Calle,23536
03011,No aplica,Calle,23537
03011,No aplica,Calle,23538
03011,No aplica,Calle,23539
03011,No aplica,Calle,23540
03011,No aplica,Calle,23541
03011,No aplica,Calle,23542
03011,No aplica,Calle,23543
03011,No aplica,Calle,23544
03011,No aplica,Calle,23545
03011,No aplica,Calle,23546
03011,No aplica,Calle,23547
03011,No aplica,Calle,23548
03011,No aplica,Calle,23549
03011,No aplica,Calle,23550
03011,No aplica,Calle,23551
03011,No aplica,Calle,23552
03011,Curva señalizada,Carretera,23553
03011,No aplica,Calle,23554
03011,No aplica,Calle,23555
03011,No aplica,Calle,23556
03011,No aplica,Calle,23557
03011,No aplica,Calle,23558
03011,No aplica,Calle,23559
03011,No aplica,Calle,23560
00000,Recta,Carretera,23561
00000,Curva señalizada,Carretera,23562
00000,Curva señalizada,Carretera,23563
00000,Recta,Carretera,23564
00000,Curva señalizada,Carretera,23565
00000,Recta,Carretera,23566
00000,Recta,Carretera,23567
00000,Curva señalizada,Carretera,23568
00000,Curva señalizada,Carretera,23569
03015,Recta,Carretera,23570
00000,Recta,Carretera,23571
00000,Recta,Carretera,23572
00000,No aplica,Calle,23573
00000,No aplica,Calle,23574
00000,No aplica,Calle,23575
03015,Recta,Carretera,23576
00000,Recta,Carretera,23577
03014,Recta,Carretera,23578
03014,Recta,Carretera,23579
03014,Recta,Carretera,23580
03014,Recta,Carretera,23581
03014,Recta,Carretera,23582
03014,Recta,Carretera,23583
03014,Recta,Carretera,23584
03014,Recta,Carretera,23585
03014,Curva señalizada,Carretera,23586
03014,Recta,Carretera,23587
03014,Curva sin señalizar,Carretera,23588
03014,No aplica,Calle,23589
03014,Recta,Carretera,23590
03014,No aplica,Calle,23591
03014,Recta,Carretera,23592
03014,Recta,Carretera,23593
03014,Recta,Carretera,23594
03014,Curva señalizada,Carretera,23595
03014,No aplica,Calle,23596
03014,Recta,Carretera,23597
03014,No aplica,Calle,23598
03014,Curva señalizada,Carretera,23599
03014,No aplica,Calle,23600
03014,No aplica,Calle,23601
03014,No aplica,Calle,23602
03014,Curva señalizada,Carretera,23603
03014,No aplica,Calle,23604
03014,No aplica,Calle,23605
03014,No aplica,Calle,23606
03014,No aplica,Calle,23607
03014,No aplica,Calle,23608
03014,No aplica,Calle,23609
03014,Recta,Carretera,23610
03014,No aplica,Calle,23611
03014,No aplica,Calle,23612
03014,No aplica,Calle,23613
03014,No aplica,Calle,23614
03014,No aplica,Calle,23615
03014,No aplica,Calle,23616
03014,Recta,Carretera,23617
03014,No aplica,Calle,23618
03014,No aplica,Calle,23619
03014,Curva señalizada,Carretera,23620
03014,No aplica,Calle,23621
03014,No aplica,Calle,23622
03014,No aplica,Calle,23623
03014,No aplica,Calle,23624
03014,No aplica,Calle,23625
03090,Recta,Carretera,23626
03014,Curva señalizada,Carretera,23627
03014,No aplica,Calle,23628
03014,No aplica,Calle,23629
03014,No aplica,Calle,23630
03014,No aplica,Calle,23631
03014,No aplica,Calle,23632
03014,No aplica,Calle,23633
03014,No aplica,Calle,23634
03014,No aplica,Calle,23635
03014,No aplica,Calle,23636
03014,No aplica,Calle,23637
03014,No aplica,Calle,23638
03014,No aplica,Calle,23639
03014,No aplica,Calle,23640
03014,No aplica,Calle,23641
03014,No aplica,Calle,23642
03014,No aplica,Calle,23643
03014,Recta,Carretera,23644
03014,Recta,Carretera,23645
03014,No aplica,Calle,23646
03014,No aplica,Calle,23647
03014,No aplica,Calle,23648
03014,No aplica,Calle,23649
03014,No aplica,Calle,23650
03014,Recta,Carretera,23651
03014,No aplica,Calle,23652
03014,No aplica,Calle,23653
03014,No aplica,Calle,23654
03014,No aplica,Calle,23655
03014,Curva señalizada,Carretera,23656
03014,No aplica,Calle,23657
03014,No aplica,Calle,23658
03014,Se desconoce,Carretera,23659
03014,Recta,Carretera,23660
03014,Curva señalizada,Carretera,23661
03014,No aplica,Calle,23662
03014,No aplica,Calle,23663
03014,No aplica,Calle,23664
03014,No aplica,Calle,23665
03014,No aplica,Calle,23666
03014,No aplica,Calle,23667
03014,No aplica,Calle,23668
03014,Curva señalizada,Carretera,23669
03014,No aplica,Calle,23670
03014,No aplica,Calle,23671
03014,Recta,Carretera,23672
03014,No aplica,Calle,23673
03014,No aplica,Calle,23674
03014,Recta,Carretera,23675
03014,No aplica,Calle,23676
03014,Curva señalizada,Carretera,23677
03014,No aplica,Calle,23678
03014,No aplica,Calle,23679
03014,Recta,Carretera,23680
03014,Curva señalizada,Carretera,23681
03014,No aplica,Calle,23682
03014,Recta,Carretera,23683
03014,Curva señalizada,Carretera,23684
03014,Recta,Carretera,23685
03014,No aplica,Calle,23686
03014,Recta,Carretera,23687
03014,No aplica,Calle,23688
03014,Recta,Carretera,23689
03014,Recta,Carretera,23690
03014,No aplica,Calle,23691
03119,Recta,Carretera,23692
03014,Curva sin señalizar,Carretera,23693
03014,No aplica,Calle,23694
03014,No aplica,Calle,23695
03014,No aplica,Calle,23696
03014,No aplica,Calle,23697
03014,No aplica,Calle,23698
03014,No aplica,Calle,23699
03014,No aplica,Calle,23700
03014,No aplica,Calle,23701
03014,No aplica,Calle,23702
03014,No aplica,Calle,23703
03014,No aplica,Calle,23704
03014,No aplica,Calle,23705
03014,No aplica,Calle,23706
03014,No aplica,Calle,23707
03014,No aplica,Calle,23708
03014,No aplica,Calle,23709
03014,No aplica,Calle,23710
03014,No aplica,Calle,23711
03014,No aplica,Calle,23712
03014,No aplica,Calle,23713
03014,No aplica,Calle,23714
03014,No aplica,Calle,23715
03014,No aplica,Calle,23716
03014,No aplica,Calle,23717
03014,No aplica,Calle,23718
03014,No aplica,Calle,23719
03014,No aplica,Calle,23720
03014,No aplica,Calle,23721
03014,No aplica,Calle,23722
03014,No aplica,Calle,23723
03014,No aplica,Calle,23724
03014,No aplica,Calle,23725
03014,No aplica,Calle,23726
03014,No aplica,Calle,23727
03014,No aplica,Calle,23728
03014,No aplica,Calle,23729
03014,No aplica,Calle,23730
03014,No aplica,Calle,23731
03014,No aplica,Calle,23732
03014,No aplica,Calle,23733
03014,No aplica,Calle,23734
03014,No aplica,Calle,23735
03014,No aplica,Calle,23736
