KM,TOTAL_HL24H,TOTAL_HG24H,TOTAL_MU24H,id,COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,TIPO_ACCIDENTE,CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,PRIORI_AGENTE,PRIORI_CIRCUNSTANCIAL,PRIORI_HORIZ_CEDA,PRIORI_HORIZ_STOP,PRIORI_SEMAFORO,PRIORI_VERT_CEDA,PRIORI_VERT_STOP,ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA
,1,0,0,9714,00000,No aplica,Calle,Fronto-lateral                                     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,No,No,No,No,No,No,No,2019,11,MIÉRCOLES,8,Mañana,Dias laborables
9.5,2,0,0,9715,00000,Curva señalizada,Carretera,"Salida de la vía por la izquierda, otro tipo       ",,CV-799,Carretera Convencional de calzada única,Autonómica,Ascendente,Con hielo,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,1,SÁBADO,12,Tarde,Fines de semana
7.3,1,0,0,9716,00000,Recta,Carretera,Lateral                                            ,,CV-80,Autovía,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,4,MIÉRCOLES,7,Mañana,Dias laborables
9.5,1,0,0,9717,00000,Curva señalizada,Carretera,Salida de la vía por la derecha con colisión       ,,CV-799,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,10,JUEVES,8,Mañana,Dias laborables
4.5,1,0,0,9718,03044,Curva señalizada,Carretera,Por alcance                                        ,,CV-95,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2019,6,MARTES,11,Mañana,Dias laborables
6.0,1,0,0,9719,03044,Curva señalizada,Carretera,Fronto-lateral                                     ,,CV-95,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,No,No,No,No,No,Sí,No,2019,7,SÁBADO,20,Noche,Fines de semana
4.9,1,0,0,9720,03044,Recta,Carretera,Atropello a personas                               ,,CV-95,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,12,JUEVES,19,Noche,Dias laborables
45.9,1,0,0,9721,00000,Curva señalizada,Carretera,Caída                                              ,,CV-715,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,3,LUNES,14,Tarde,Dias laborables
8.4,0,1,0,9722,00000,Curva señalizada,Carretera,Salida de la vía por la derecha con colisión       ,,CV-773,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,2,LUNES,18,Noche,Dias laborables
3.2,0,1,0,9723,00000,Curva sin señalizar,Carretera,Fronto-lateral                                     ,,CV-774,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,Sí,No,No,Sí,2019,11,DOMINGO,9,Mañana,Fines de semana
5.5,1,0,0,9724,00000,Curva señalizada,Carretera,Salida de la vía por la derecha con vuelco         ,,CV-773,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,12,LUNES,14,Tarde,Dias laborables
,0,1,0,9725,03047,No aplica,Calle,Colisión contra obstáculo o elemento de la vía     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,Niebla ligera,Se desconoce,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,5,MIÉRCOLES,19,Noche,Dias laborables
169.7,1,0,0,9726,03047,Recta,Carretera,Atropello a animales                               ,,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,No,No,Sí,No,No,Sí,No,2019,7,MIÉRCOLES,4,Madrugada,Dias laborables
166.6,0,1,0,9727,03047,Recta,Carretera,Caída                                              ,,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,7,MARTES,15,Tarde,Dias laborables
167.7,0,1,1,9728,03047,Curva señalizada,Carretera,Atropello a personas                               ,,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,10,DOMINGO,23,Noche,Fines de semana
163.4,2,0,0,9729,03047,Curva señalizada,Carretera,Fronto-lateral                                     ,,N-332,Carretera Convencional de calzada única,Estatal,Ambos,Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,10,LUNES,15,Tarde,Dias laborables
,1,0,0,9730,03047,No aplica,Calle,Frontal                                            ,,No inventariada,Otro,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,8,JUEVES,22,Noche,Dias laborables
,1,0,0,9731,03047,No aplica,Calle,Caída                                              ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,8,MARTES,23,Noche,Dias laborables
,2,0,0,9732,03047,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel rojo,,No,No,No,No,No,Sí,No,2019,8,JUEVES,10,Mañana,Dias laborables
,1,1,0,9733,03047,No aplica,Calle,Fronto-lateral                                     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,No,No,No,No,No,No,Sí,2019,7,MARTES,0,Madrugada,Dias laborables
