ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA,id
2018,5,VIERNES,19,Noche,Dias laborables,7182
2018,5,MIÉRCOLES,17,Tarde,Dias laborables,7183
2018,5,JUEVES,10,Mañana,Dias laborables,7184
2018,5,MIÉRCOLES,9,Mañana,Dias laborables,7185
2018,5,MIÉRCOLES,14,Tarde,Dias laborables,7186
2018,5,VIERNES,12,Tarde,Dias laborables,7187
2018,5,JUEVES,14,Tarde,Dias laborables,7188
2018,5,VIERNES,21,Noche,Dias laborables,7189
2018,5,DOMINGO,18,Noche,Fines de semana,7190
2018,5,VIERNES,12,Tarde,Dias laborables,7191
2018,5,MIÉRCOLES,10,Mañana,Dias laborables,7192
2018,5,MARTES,8,Mañana,Dias laborables,7193
2018,2,DOMINGO,7,Mañana,Fines de semana,7194
2018,5,LUNES,11,Mañana,Dias laborables,7195
2018,5,MARTES,9,Mañana,Dias laborables,7196
2018,5,MARTES,8,Mañana,Dias laborables,7197
2018,5,MARTES,20,Noche,Dias laborables,7198
2018,5,LUNES,16,Tarde,Dias laborables,7199
2018,5,JUEVES,21,Noche,Dias laborables,7200
2018,5,MARTES,17,Tarde,Dias laborables,7201
2018,5,JUEVES,17,Tarde,Dias laborables,7202
2018,5,MARTES,7,Mañana,Dias laborables,7203
2018,5,MARTES,14,Tarde,Dias laborables,7204
2018,5,SÁBADO,5,Madrugada,Fines de semana,7205
2018,5,SÁBADO,21,Noche,Fines de semana,7206
2018,5,VIERNES,9,Mañana,Dias laborables,7207
2018,5,JUEVES,11,Mañana,Dias laborables,7208
2018,5,DOMINGO,17,Tarde,Fines de semana,7209
2018,5,MARTES,18,Noche,Dias laborables,7210
2018,5,VIERNES,18,Noche,Dias laborables,7211
2018,5,VIERNES,6,Mañana,Dias laborables,7212
2018,5,MARTES,16,Tarde,Dias laborables,7213
2018,5,MARTES,14,Tarde,Dias laborables,7214
2018,5,MIÉRCOLES,19,Noche,Dias laborables,7215
2018,5,SÁBADO,13,Tarde,Fines de semana,7216
